,,,,,,,,,,,,,,,,,,,,,,,
Sr No.,Problem Statement,Link for Proof(PDF),Assumptions Used,Hallucination Error (HA) (yes/no),Missing Step (MS) (yes/no),Operator Error (OP) (yes/no),Completeness Score (0–5),Assumption Use Score (0–5),"Any fix required (None, Minor, Major, Rewrite)",Reviewer Name,Algo name (for reference only),Link for Regenerated Proof(PDF),Hallucination Error (HA) (yes/no),Missing Step (MS) (yes/no),Operator Error (OP) (yes/no),Completeness Score (0–5),Assumption Use Score (0–5),Overall Score (0–5),Model for evaluation,Link for Proof Evaluation (PDF),Comments on LLM Judge,Score for LLM Judge (0-5),
,,,,,,,,,,,,,,,,,,,,,,,
7,"The algorithm combines momentum-based updates with adaptive learning rates, maintaining exponential moving averages of both gradients (first moment) and squared gradients (second moment). At each iteration, it computes bias-corrected moment estimates and uses these to update parameters with momentum-driven steps. It is designed for smooth nonconvex optimization problems where the stochastic gradients have bounded variance.",7.pdf,smooth and nonconvex functions with bounded second-order moment of stochastic gradient.,no,no,no,4,4,Minor,Surendra,Adam for smooth and nonconvex functions with bounded second-order moment of stochastic gradient.,,,,,,,,,,,,
,,7.pdf,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,7.pdf,,yes,yes,yes,4,4,Minor,Gpt5 plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Qwen3,,,,,,,,,,,,,
,,,,no,yes,yes,4,5,minor,gemini 2.5 pro,,,,,,,,,,,,,
,,adam_noncovex_nonsmooth.pdf,non smooth and nonconvex functions with bounded second-order moment of stochastic gradient.,,,,,,,,,,,,,,,,,,,,
,,,,no,no,no,5,4,minor,GPTplus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Qwen3,,,,,,,,,,,,,
,,,,no,no,yes ,5,5,minor,gemini 2.5 pro,,,,,,,,,,,,,
,,adam_weaklyconvex_smooth.pdf,smooth and weakly convex functions with bounded second-order moment of stochastic gradient.,,,,,,,,,,,,,,,,,,,,
,,,,no,yes(minor),no,4,5,minor,GPT5plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Qwen3,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,adam_weaklyconvex_nonsmooth.pdf,non smooth and weakly convex functions with bounded second-order moment of stochastic gradient.,,,,,,,,,,,,,,,,,,,,
,,,,no,yes,no,4,4,minor,GPT5plus,,adam_weaklyconvex_nonsmooth_v2.pdf,no,yes,no,3,4,3.5,Geetika,"A5 is not clear why it is valid, Lemma 4 and 5 proof missing, proof considers \beta_1=0",,,
,,,,no,no,no,5,5,none,Grok,,,no,no,no,5,4.5,4.5,GPT5plus,https://chatgpt.com/share/68e25868-3bc8-800f-8779-08291024a9f9,Identifies a few gaps like A5 and lemma 4.,3,
,,,,no,no,no,5,5,none,Qwen3,,,no,no,no,5,5,5,Grok,https://grok.com/share/bGVnYWN5_599bd643-b1a6-4e91-94bd-96105a96940f,Did not identify any gap,2,
,,,,no,yes,yes,4,5,major,gemini 2.5 pro,https://g.co/gemini/share/83713995480f,,no,no,no,5,5,5,qwen3 vl 235b a22b,https://chat.qwen.ai/s/c271946d-8384-49cf-b1c2-1e0322c5d02d?fev=0.0.222,Did not identify any gap (responses of all llms are roughly 95% same),2,
,,"
https://drive.google.com/file/d/1aXCcFv9dRtkjG1YDbUrTNCKDivjnl9-E/view?usp=sharing",PL and smooth with bounded second-order moment of stochastic gradient.,,,,,,,,https://g.co/gemini/share/18584040b5c8,,,,,,,,,,,,
,,,,no,yes,yes,4,4,minor,GPT5plus,,adam_pl_smooth_v2.pdf,yes,yes,yes,4,4,4,,Geetika,"there is no assumption on bounded variance that is clearly stated but used in proofs. Lemma 5 proof is not clear, operators misplaced. Sign issues in equation 4.",,
,,,,no,no,no,5,5,none,Grok,,,no,no,no,4,4,4,GPT5plus,https://chatgpt.com/share/68e25aba-3cc4-800f-964d-8d3ecd033fb0,isable to identify a few very minor issues but still lacks in analysing throughly,3,
,,,,no,no,no,4,5,minor,Qwen3,,,no,no,yes,4,4,3,Grok,https://grok.com/share/bGVnYWN5_69c2ce33-ba18-49bc-8b62-f4eb91440949,better than GPT5 as identified more important gaps,4,
,,,,no,yes,yes,3,2,major,gemini 2.5 pro,https://g.co/gemini/share/ef027887a539,,no,no,no,5,5,5,qwen3 vl 235b a22b,https://chat.qwen.ai/s/8aa55b24-c643-4b21-a0f8-153e38289d66?fev=0.0.222,unable to identify any issues in regenerated proof. worst of all 3.,2,
,,adam_pl_nonsmooth.pdf,PL and non smooth with bounded second-order moment of stochastic gradient.,,,,,,,,,,yes,no,no,3,4,3,,Geetika,"The proof uses inner product involving P to be bounded by p<.,.> which is not correct, proof later uses convexity assumptions and incorrectly uses the rule for SGD type update.",,
,,,,no,yes,yes,4,4,minor,GPT5plus,,adam_pl_nonsmooth_v2.pdf,no,yes,no,4,4,4,GPT5plus,https://chatgpt.com/share/68e24450-5024-800f-80f5-c9989a6e9447,partially correct verification but fails to identify many gaps,4,
,,,,no,no,no,5,5,none,Grok,,,no,no,no,5,5,5,Grok,https://grok.com/share/c2hhcmQtMw%3D%3D_aba246d4-3437-40b2-90f7-80253bbf6e09,incorrect evaluation,3,
,,,,no,no,no,5,5,none,Qwen,,,no,no,no,5,5,5,qwen3 vl 235b a22b,https://chat.qwen.ai/s/ee86a56a-0006-48a7-96b4-4ae43c71f679?fev=0.0.222,incorrect evaluation (worst of all),2,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,no ,yes ,no,3,3,2,gemini 2.5 pro,https://g.co/gemini/share/727b541e9c9f,Verification is correct (best out of all llms),5,
,,adam_strongconvex_smooth.pdf,strongly convexand smooth with bounded second-order moment of stochastic gradient.,,,,,,,,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,GPT5plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,yes,no,4,5,minor,Qwen,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,adam_strongconvex_nonsmooth.pdf,strongly convex and non smooth with bounded second-order moment of stochastic gradient.,,,,,,,,,,,,,,,,,,,,
,,,,no,no,yes,4,5,minor,GPT5plus,,,,,,,,,,,,,
,,,,no,yes,yes,4,4,minor,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Qwen3,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
8,The algorithm iteratively updates the full parameter vector by computing the gradient along a randomly selected coordinate direction at each step. It uses this coordinate-wise gradient information to determine the update direction and step size for the entire parameter vector.  It is designed for functions satisfying the Polyak-Lojasiewicz condition that are smooth with respect to individual coordinates.,8.pdf,PL and coordinate wise smooth functions.,no,yes,no,4,4,Minor,Surendra,Randomized coordinate descent for PL and coordinate wise smooth functions.,,,,,,,,,,,,
,,8.pdf,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,8.pdf,,no,no,no,5,4,none,GPT5 plus,,,,,,,,,,,,,
,,,,no,yes,no,4,5,minor,Qwen3,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,8b.pdf,strongly convex and smooth functions,,,,,,,,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,GPT5plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,8c.pdf,strongly convex and non-smooth functions,,,,,,,,,8c_v2.pdf,no,no,no,4,4,3,Surendra,,,,
,,,,no,no,no,5,5,minor,GPT5plus,,,no,yes,yes,3,3,3,GPT5plus,https://chatgpt.com/share/68e29aff-1f98-800f-b880-e755bedb1f43,,Verification is correct,5
,,,,no,no,no,5,5,none,Grok,,,no,no,no,5,5,5,Grok,https://grok.com/share/bGVnYWN5_e13b7652-70eb-4c3c-81ca-67f2bf5095e5,,not correct,2
,,,,no,no,no,4,5,minor,qwen3 vl 235b a22b,,,no,no,no,5,5,5,qwen3 vl 235b a22b,https://chat.qwen.ai/s/6d399391-e8bb-4899-9798-5f0cba16b97f?fev=0.0.222,,not correct,2
,,,,no,yes,yes,3,3,major,gemini 2.5 pro,https://g.co/gemini/share/5ac39336fd43,,,,,,,,,,,,
,,8d.pdf,Convex and smooth functions,,,,,,,,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,GPT5plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,8e.pdf,Convex and non-smooth functions,,,,,,,,,,,,,,,,,,,,
,,,,no,yes,no,4,5,minor,GPT5plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,8f.pdf,Non-Convex and Smooth functions,,,,,,,,,8f_v2.pdf,yes,no,no,4,4,4,Surendra,,,,
,,,,no,yes,yes,4,4,minor,GPT5plus,,,no,no,no,4,5,4,GPT5plus,https://chatgpt.com/share/68e1e1ad-b984-800f-b172-568f785046f3,,Verification is correct,5
,,,,no,no,no,5,5,none,Grok,,,no,no,no,5,5,5,Grok,https://grok.com/share/c2hhcmQtMw%3D%3D_9625818f-6256-4368-8fea-e76b20c5b55e,,Did not identify any gap. partially correct,3
,,,,no,yes,no,3,5,major,qwen3 vl 235b a22b,,,no,no,no,5,5,5,qwen3 vl 235b a22b,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,8g.pdf,Non-Convex and Non-Smooth functions,,,,,,,,,8g_v2.pdf,no,yes,no,3,4,4,Surendra,,,,
,,,,no,yes,no,4,4,minor,GPT5plus,,,no,no,no,5,5,5,GPT5plus,https://chatgpt.com/share/68e2a18f-eef4-800f-95d8-2c4cd831451d,,partially correct verification,4
,,,,no,yes,yes,4,4,major,Grok,,,no,no,no,5,5,5,Grok,https://grok.com/share/c2hhcmQtMw%3D%3D_7f1e0e6b-215a-4e7a-a388-90520c2ab224,,it doesnt evaluate in detail ,3
,,,,no,yes,no,4,5,minor,qwen3 vl 235b a22b,,,no,no,no,5,5,5,qwen3 vl 235b a22b,,,,
,,,,no,yes,no,4,4,minor,gemini 2.5 pro,,,,,,,,,,,,,
,,8h.pdf,PL and Smooth functions,,,,,,,,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,GPT5plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,8i.pdf,PL and Non-Smooth functions,,,,,,,,,,,,,,,,,,,,
,,,,no,no,no,5,5,minor,GPT5plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,8j.pdf,Weakly Convex and Smooth functions,,,,,,,,,8j_v2.pdf,no,no,no,4,5,4,Surendra,,,,
,,,,no,yes,no,4,4,minor,GPT5plus,,,no,no,no,4,5,5,GPT5plus,https://chatgpt.com/share/68e20a97-c058-800f-988b-26f4b4c2c24b,,Verification is correct,5
,,,,no,no,no,5,5,none,Grok,,,no,no,no,5,5,5,Grok,https://grok.com/share/c2hhcmQtMw%3D%3D_d748a902-229f-4f66-91dd-ca883800cc0f,,partially correct,4
,,,,no,no,no,5,5,none,qwen3 vl 235b a22b,,,no,no,no,5,5,5,qwen3 vl 235b a22b,https://chat.qwen.ai/s/d7516247-661d-4f0f-9c8a-94baa15c09e8?fev=0.0.222,,it doesnt evaluate in detail ,3
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,8k.pdf,Weakly Convex and Non-Smooth functions,,,,,,,,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,GPT5plus,,,,,,,,,,,,,
,,,,no,no,yes,4,4,minor,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,qwen3 vl 235b a22b,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,,,,,,,,,, ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,novograd.pdf,novograd_proof.pdf,,,,,,,,,novograd,,yes,no,no,1,2,1,Geetika,"E[p_tg_t]=E[P_t\nabla f_t] is not true since P also depends on g_t. Also, E||Pt gt||^2 is also resolved incorrectly.",,,
